,Name,Role,Market Value,Squadra,Season
364,Nemanja Radonjić,Ala sinistra,4000000.0,Torino FC,2022
365,Yann Karamoh,Ala sinistra,3500000.0,Torino FC,2022
366,Demba Seck,Ala destra,2700000.0,Torino FC,2022
367,Simone Edera,Ala destra,300000.0,Torino FC,2022
368,Antonio Sanabria,Punta centrale,10000000.0,Torino FC,2022
369,Pietro Pellegri,Punta centrale,3500000.0,Torino FC,2022
370,Luigi Caccavo,Punta centrale,125000.0,Torino FC,2022
371,Marco Silvestri,Portiere,5000000.0,Udinese Calcio,2022
372,Daniele Padelli,Portiere,200000.0,Udinese Calcio,2022
373,Edoardo Piana,Portiere,50000.0,Udinese Calcio,2022
374,Nehuén Pérez,Difensore centrale,10000000.0,Udinese Calcio,2022
375,Jaka Bijol,Difensore centrale,10000000.0,Udinese Calcio,2022
376,Rodrigo Becão,Difensore centrale,10000000.0,Udinese Calcio,2022
377,Enzo Ebosse,Difensore centrale,4500000.0,Udinese Calcio,2022
378,Adam Masina,Difensore centrale,2500000.0,Udinese Calcio,2022
379,Filip Benkovic,Difensore centrale,2200000.0,Udinese Calcio,2022
380,Bram Nuytinck,Difensore centrale,1000000.0,Udinese Calcio,2022
381,James Abankwah,Difensore centrale,300000.0,Udinese Calcio,2022
382,Axel Guessand,Difensore centrale,250000.0,Udinese Calcio,2022
383,Niccolò Cocetta,Difensore centrale,75000.0,Udinese Calcio,2022
384,Destiny Udogie,Terzino sinistro,25000000.0,Udinese Calcio,2022
385,Leonardo Buta,Terzino sinistro,1500000.0,Udinese Calcio,2022
386,Marvin Zeegelaar,Terzino sinistro,400000.0,Udinese Calcio,2022
387,Brandon Soppy,Terzino destro,9000000.0,Udinese Calcio,2022
388,Kingsley Ehizibue,Terzino destro,2500000.0,Udinese Calcio,2022
389,Walace,Mediano,7000000.0,Udinese Calcio,2022
390,Mato Jajalo,Mediano,250000.0,Udinese Calcio,2022
391,Riccardo Castagnaviz,Mediano,50000.0,Udinese Calcio,2022
392,Lazar Samardžić,Centrale,14000000.0,Udinese Calcio,2022
393,Jean-Victor Makengo,Centrale,10000000.0,Udinese Calcio,2022
394,Sandi Lovrić,Centrale,10000000.0,Udinese Calcio,2022
395,Roberto Pereyra,Centrale,6000000.0,Udinese Calcio,2022
