,anno,giornata,Home Team,Away Team,scorer,details
3929,2023,6,Cagliari Calcio,AC Milan,Noah Okafor,"Noah Okafor, Sinistro, 1° gol stagionaleAssist: Senza assist"
3930,2023,6,Cagliari Calcio,AC Milan,Fikayo Tomori,"Fikayo Tomori, Destro, 1° gol stagionaleAssist:Tijjani Reijnders, Cross, 2° assist stagionale"
3931,2023,6,Cagliari Calcio,AC Milan,Ruben Loftus-Cheek,"Ruben Loftus-Cheek, Destro, 1° gol stagionaleAssist:Christian Pulisic, Passaggio, 1° assist stagionale"
3932,2023,7,ACF Fiorentina,Cagliari Calcio,Nico González,"Nico González, Sinistro, 4° gol stagionaleAssist:Lucas Beltrán, Colpo di testa, 1° assist stagionale"
3933,2023,7,ACF Fiorentina,Cagliari Calcio,Alberto Dossena,"Alberto Dossena, AutoreteAssist:Michael Kayode, Cross, 1° assist stagionale"
3934,2023,7,ACF Fiorentina,Cagliari Calcio,M'Bala Nzola,"M'Bala Nzola, Sinistro, 1° gol stagionaleAssist:Rolando Mandragora, Passaggio, 1° assist stagionale"
3935,2023,8,Cagliari Calcio,AS Roma,Houssem Aouar,"Houssem Aouar, Sinistro, 2° gol stagionaleAssist:Leonardo Spinazzola, Passaggio, 2° assist stagionale"
3936,2023,8,Cagliari Calcio,AS Roma,Romelu Lukaku,"Romelu Lukaku, Petto, 4° gol stagionaleAssist:Rick Karsdorp, Cross, 1° assist stagionale"
3937,2023,8,Cagliari Calcio,AS Roma,Andrea Belotti,"Andrea Belotti, Azione in contropiede, 3° gol stagionaleAssist:Leandro Paredes, Passaggio, 2° assist stagionale"
3938,2023,8,Cagliari Calcio,AS Roma,Romelu Lukaku,"Romelu Lukaku, Sinistro, 5° gol stagionaleAssist:Leandro Paredes, Passaggio, 3° assist stagionale"
3939,2023,8,Cagliari Calcio,AS Roma,Nahitan Nández,"Nahitan Nández, Rigore, 1° gol stagionaleAssist: Rigore: mani diBryan Cristante"
3940,2023,9,US Salernitana 1919,Cagliari Calcio,Zito Luvumbo,"Zito Luvumbo, Sinistro, 3° gol stagionaleAssist:Jakub Jankto, Passaggio, 1° assist stagionale"
3941,2023,9,US Salernitana 1919,Cagliari Calcio,Boulaye Dia,"Boulaye Dia, Destro, 2° gol stagionaleAssist:Chukwubuikem Ikwuemesi, Passaggio, 1° assist stagionale"
3942,2023,9,US Salernitana 1919,Cagliari Calcio,Nicolas Viola,"Nicolas Viola, Colpo di testa, 1° gol stagionaleAssist:Eldor Shomurodov, Passaggio, 1° assist stagionale"
3943,2023,9,US Salernitana 1919,Cagliari Calcio,Boulaye Dia,"Boulaye Dia, Rigore, 3° gol stagionaleAssist: Rigore: mani diNicolas Viola"
3944,2023,10,Cagliari Calcio,Frosinone Calcio,Matías Soulé,"Matías Soulé, Sinistro, 4° gol stagionaleAssist:Reinier, Passaggio, 1° assist stagionale"
3945,2023,10,Cagliari Calcio,Frosinone Calcio,Matías Soulé,"Matías Soulé, Destro, 5° gol stagionaleAssist:Reinier, Passaggio, 2° assist stagionale"
3946,2023,10,Cagliari Calcio,Frosinone Calcio,Marco Brescianini,"Marco Brescianini, Sinistro, 1° gol stagionaleAssist:Pol Lirola, Passaggio, 1° assist stagionale"
3947,2023,10,Cagliari Calcio,Frosinone Calcio,Gaetano Oristanio,"Gaetano Oristanio, Sinistro, 1° gol stagionaleAssist:Leonardo Pavoletti, Passaggio, 1° assist stagionale"
3948,2023,10,Cagliari Calcio,Frosinone Calcio,Antoine Makoumbou,"Antoine Makoumbou, Destro, 1° gol stagionaleAssist: Senza assist"
3949,2023,10,Cagliari Calcio,Frosinone Calcio,Leonardo Pavoletti,"Leonardo Pavoletti, Colpo di testa, 1° gol stagionaleAssist:Nicolas Viola, Corner, 1° assist stagionale"
3950,2023,10,Cagliari Calcio,Frosinone Calcio,Leonardo Pavoletti,"Leonardo Pavoletti, Destro, 2° gol stagionaleAssist:Alberto Dossena, Passaggio, 1° assist stagionale"
3951,2023,11,Cagliari Calcio,Genoa CFC,Nicolas Viola,"Nicolas Viola, Azione in contropiede, 2° gol stagionaleAssist:Gaetano Oristanio, Passaggio, 1° assist stagionale"
3952,2023,11,Cagliari Calcio,Genoa CFC,Albert Gudmundsson,"Albert Gudmundsson, Destro, 5° gol stagionaleAssist: Senza assist"
3953,2023,11,Cagliari Calcio,Genoa CFC,Gabriele Zappa,"Gabriele Zappa, Destro, 1° gol stagionaleAssist:Andrea Petagna, Passaggio, 1° assist stagionale"
3954,2023,12,Juventus FC,Cagliari Calcio,Bremer,"Bremer, Colpo di testa, 1° gol stagionaleAssist:Filip Kostić, Cross, 3° assist stagionale"
3955,2023,12,Juventus FC,Cagliari Calcio,Daniele Rugani,"Daniele Rugani, Tap-in, 1° gol stagionaleAssist: Senza assist"
3956,2023,12,Juventus FC,Cagliari Calcio,Alberto Dossena,"Alberto Dossena, Colpo di testa, 1° gol stagionaleAssist:Jakub Jankto, Corner, 2° assist stagionale"
3957,2023,13,Cagliari Calcio,AC Monza,Alberto Dossena,"Alberto Dossena, Sinistro, 2° gol stagionaleAssist: Senza assist"
3958,2023,13,Cagliari Calcio,AC Monza,Mirko Maric,"Mirko Maric, Colpo di testa, 1° gol stagionaleAssist:Georgios Kyriakopoulos, Corner, 3° assist stagionale"
3959,2023,14,SS Lazio,Cagliari Calcio,Pedro,"Pedro, Destro, 1° gol stagionaleAssist:Manuel Lazzari, Passaggio, 2° assist stagionale"
3960,2023,15,Cagliari Calcio,US Sassuolo Calcio,Martin Erlić,"Martin Erlić, Colpo di testa, 1° gol stagionaleAssist:Armand Laurienté, Corner, 3° assist stagionale"
3961,2023,15,Cagliari Calcio,US Sassuolo Calcio,Gianluca Lapadula,"Gianluca Lapadula, Destro, 1° gol stagionaleAssist:Zito Luvumbo, Corner, 1° assist stagionale"
3962,2023,15,Cagliari Calcio,US Sassuolo Calcio,Leonardo Pavoletti,"Leonardo Pavoletti, Destro, 3° gol stagionaleAssist:Eldor Shomurodov, Passaggio, 2° assist stagionale"
3963,2023,16,SSC Napoli,Cagliari Calcio,Victor Osimhen,"Victor Osimhen, Colpo di testa, 7° gol stagionaleAssist:Mário Rui, Cross, 1° assist stagionale"
3964,2023,16,SSC Napoli,Cagliari Calcio,Leonardo Pavoletti,"Leonardo Pavoletti, Destro, 4° gol stagionaleAssist:Zito Luvumbo, Passaggio, 2° assist stagionale"
3965,2023,16,SSC Napoli,Cagliari Calcio,Khvicha Kvaratskhelia,"Khvicha Kvaratskhelia, Destro, 5° gol stagionaleAssist:Victor Osimhen, Passaggio, 2° assist stagionale"
3966,2023,17,Hellas Verona FC,Cagliari Calcio,Cyril Ngonge,"Cyril Ngonge, Sinistro, 5° gol stagionaleAssist:Jackson Tchatchoua, 2° assist stagionale"
3967,2023,17,Hellas Verona FC,Cagliari Calcio,Milan Djuric,"Milan Djuric, Azione in contropiede, 4° gol stagionaleAssist:Jordi Mboula, 1° assist stagionale"
