,anno,giornata,Home Team,Away Team,scorer,numero_goal_partita,team_goal,goal,goal_home,goal_away,assist
4386,2024,17,ACF Fiorentina,Udinese Calcio,Lorenzo Lucca,2.0,away,1:1,1.0,1.0,Jurgen Ekkelenkamp
4387,2024,17,ACF Fiorentina,Udinese Calcio,Florian Thauvin,3.0,away,1:2,1.0,2.0,Sandi Lovrić
4395,2024,1,Bologna FC 1909,Udinese Calcio,Riccardo Orsolini,1.0,home,1:0,1.0,0.0,Martin Erlić
4396,2024,1,Bologna FC 1909,Udinese Calcio,Lautaro Giannetti,2.0,away,1:1,1.0,1.0,Brenner
4400,2024,3,Bologna FC 1909,Empoli FC,Giovanni Fabbian,1.0,home,1:0,1.0,0.0,Sam Beukema
4401,2024,3,Bologna FC 1909,Empoli FC,Emmanuel Gyasi,2.0,away,1:1,1.0,1.0,Giuseppe Pezzella
4402,2024,4,Como 1907,Bologna FC 1909,Nicolò Casale,1.0,home,1:0,1.0,0.0,Patrick Cutrone
4403,2024,4,Como 1907,Bologna FC 1909,Patrick Cutrone,2.0,home,2:0,2.0,0.0,Gabriel Strefezza
4404,2024,4,Como 1907,Bologna FC 1909,Santiago Castro,3.0,away,2:1,2.0,1.0,Senza assist
4405,2024,4,Como 1907,Bologna FC 1909,Samuel Iling-Junior,4.0,away,2:2,2.0,2.0,Santiago Castro
4406,2024,5,AC Monza,Bologna FC 1909,Kacper Urbanski,1.0,away,0:1,0.0,1.0,Charalampos Lykogiannis
4407,2024,5,AC Monza,Bologna FC 1909,Milan Djuric,2.0,home,1:1,1.0,1.0,Daniel Maldini
4408,2024,5,AC Monza,Bologna FC 1909,Santiago Castro,3.0,away,1:2,1.0,2.0,Remo Freuler
4411,2024,7,Bologna FC 1909,AS Roma,,,,,,,
4412,2024,8,Genoa CFC,Bologna FC 1909,Riccardo Orsolini,1.0,away,0:1,0.0,1.0,Nikola Moro
4413,2024,8,Genoa CFC,Bologna FC 1909,Jens Odgaard,2.0,away,0:2,0.0,2.0,Senza assist
4414,2024,8,Genoa CFC,Bologna FC 1909,Andrea Pinamonti,3.0,home,1:2,1.0,2.0,Jeff Ekhator
4415,2024,8,Genoa CFC,Bologna FC 1909,Andrea Pinamonti,4.0,home,2:2,2.0,2.0,Aarón Martín
